date,count
22 Aug 2011,11
23 Aug 2011,10
24 Aug 2011,13
25 Aug 2011,7
26 Aug 2011,14
27 Aug 2011,7
28 Aug 2011,6
29 Aug 2011,12
30 Aug 2011,12
31 Aug 2011,6
01 Sep 2011,11
02 Sep 2011,11
03 Sep 2011,10
04 Sep 2011,7
05 Sep 2011,12
06 Sep 2011,10
07 Sep 2011,16
08 Sep 2011,7
09 Sep 2011,10
10 Sep 2011,10
11 Sep 2011,13
12 Sep 2011,7
13 Sep 2011,9
14 Sep 2011,9
15 Sep 2011,7
16 Sep 2011,6
17 Sep 2011,12
18 Sep 2011,11
19 Sep 2011,14
20 Sep 2011,6
21 Sep 2011,7
22 Sep 2011,15
23 Sep 2011,7
24 Sep 2011,14
25 Sep 2011,15
26 Sep 2011,10
27 Sep 2011,14
28 Sep 2011,5
29 Sep 2011,8
30 Sep 2011,7
01 Oct 2011,10
02 Oct 2011,15
03 Oct 2011,16
04 Oct 2011,8
05 Oct 2011,9
06 Oct 2011,11
07 Oct 2011,9
08 Oct 2011,6
09 Oct 2011,6
10 Oct 2011,16
11 Oct 2011,14
12 Oct 2011,11
13 Oct 2011,14
14 Oct 2011,11
15 Oct 2011,11
16 Oct 2011,13
17 Oct 2011,8
18 Oct 2011,10
19 Oct 2011,8
20 Oct 2011,8
21 Oct 2011,6
22 Oct 2011,8
23 Oct 2011,8
24 Oct 2011,14
25 Oct 2011,9
26 Oct 2011,4
27 Oct 2011,12
28 Oct 2011,8
29 Oct 2011,14
30 Oct 2011,10
31 Oct 2011,5
01 Nov 2011,15
02 Nov 2011,8
03 Nov 2011,11
04 Nov 2011,18
05 Nov 2011,5
06 Nov 2011,16
07 Nov 2011,6
08 Nov 2011,11
09 Nov 2011,16
10 Nov 2011,11
11 Nov 2011,8
12 Nov 2011,7
13 Nov 2011,11
14 Nov 2011,7
15 Nov 2011,7
16 Nov 2011,13
17 Nov 2011,11
18 Nov 2011,13
19 Nov 2011,8
20 Nov 2011,15
21 Nov 2011,20
22 Nov 2011,12
23 Nov 2011,9
24 Nov 2011,13
25 Nov 2011,14
26 Nov 2011,7
27 Nov 2011,7
28 Nov 2011,8
29 Nov 2011,13
30 Nov 2011,16
01 Dec 2011,11
02 Dec 2011,10
03 Dec 2011,14
04 Dec 2011,5
05 Dec 2011,12
06 Dec 2011,7
07 Dec 2011,8
08 Dec 2011,4
09 Dec 2011,12
10 Dec 2011,10
11 Dec 2011,11
12 Dec 2011,15
13 Dec 2011,14
14 Dec 2011,11
15 Dec 2011,9
16 Dec 2011,8
17 Dec 2011,13
18 Dec 2011,13
19 Dec 2011,14
20 Dec 2011,15
21 Dec 2011,10
22 Dec 2011,4
23 Dec 2011,12
24 Dec 2011,10
25 Dec 2011,10
26 Dec 2011,9
27 Dec 2011,6
28 Dec 2011,9
29 Dec 2011,13
30 Dec 2011,7
31 Dec 2011,13
01 Jan 2012,12
02 Jan 2012,7
03 Jan 2012,8
04 Jan 2012,13
05 Jan 2012,17
06 Jan 2012,5
07 Jan 2012,16
08 Jan 2012,7
09 Jan 2012,10
10 Jan 2012,9
11 Jan 2012,9
12 Jan 2012,8
13 Jan 2012,16
14 Jan 2012,15
15 Jan 2012,12
16 Jan 2012,14
17 Jan 2012,8
18 Jan 2012,11
19 Jan 2012,9
20 Jan 2012,10
21 Jan 2012,9
22 Jan 2012,8
23 Jan 2012,11
24 Jan 2012,13
25 Jan 2012,9
26 Jan 2012,13
27 Jan 2012,15
28 Jan 2012,10
29 Jan 2012,8
30 Jan 2012,13
31 Jan 2012,8
01 Feb 2012,12
02 Feb 2012,14
03 Feb 2012,16
